city,date,fare,ride_id
Bergermouth,2018-01-20 01:01:28,43.02,0683665871149
West Jessicamouth,2018-01-14 11:34:08,6.52,5409319008083
Karatown,2018-01-10 12:01:16,22.33,9240161770669
Port Ann,2018-01-14 22:27:10,40.23,6581910956754
Markchester,2018-02-15 07:23:25,4.26,8481316754252
Port Kathleenburgh,2018-01-18 00:30:21,35.1,9807019405984
Brendamouth,2018-01-20 03:11:58,18.51,3453990603381
Lake Derek,2018-01-20 14:26:36,38.1,9069279843849
Karatown,2018-01-06 12:02:53,9.69,9051345277382
West Laurenshire,2018-02-09 15:29:58,4.66,2321207921812
East Richard,2018-01-18 15:04:21,29.43,1316117677363
Mirandastad,2018-02-04 01:26:20,11.19,6566588781426
Piercemouth,2018-02-15 04:35:17,10.26,9253603258113
West Janetstad,2018-02-13 07:40:13,22.08,4688464187688
Kirktown,2018-01-23 05:46:30,15.53,5376176080371
South Melissa,2018-02-18 04:38:19,38.9,6910525264297
Floresfort,2018-01-23 01:51:10,6.3,5878392601694
East Richard,2018-02-05 23:46:37,12.15,9652532064053
North Katie,2018-02-23 13:25:37,29.68,8416912589502
Port Kathleenburgh,2018-02-23 21:53:17,10.75,2765704992720
Davisberg,2018-01-21 10:40:11,44.01,9203992197869
Piercemouth,2018-01-06 07:50:27,7.83,6687089209797
Davismouth,2018-01-25 21:30:32,32.6,0489890887456
Danaville,2018-03-03 05:38:51,4.2,3599517422865
Kirktown,2018-01-24 00:30:33,35.31,5677233485642
East Richard,2018-02-17 07:01:18,7.26,1335564035762
East Bonnieberg,2018-02-08 01:53:07,38.58,5186064607302
Fuentesshire,2018-02-08 01:39:23,31.71,5264388042389
Fuentesshire,2018-02-12 08:21:26,6.8,0007080035793
Fuentesshire,2018-01-16 03:09:14,14.65,6878477513620
Mirandastad,2018-01-30 00:34:34,6.68,5683466616685
Wardhaven,2018-03-02 02:40:50,40.12,7337398156501
Danaville,2018-02-01 08:00:09,4.59,4098745798005
East Danny,2018-03-13 14:17:50,39.59,0162165366763
North Josephshire,2018-02-01 07:21:11,7.6,8692636630748
Lake Derek,2018-01-10 04:15:59,11.9,3889329531467
Kirktown,2018-02-04 06:31:41,44.98,6043982828419
Piercemouth,2018-03-08 11:26:39,38.66,6133136992742
Davismouth,2018-01-02 22:21:14,23.98,6839247062694
Karatown,2018-01-24 07:26:54,42.4,7398025345552
North Carlos,2018-02-24 17:03:14,35.66,4117540178642
East Chelseashire,2018-02-27 02:54:04,35.0,7056138016379
West Carmen,2018-03-02 16:48:25,16.9,7258060893305
West Jessicamouth,2018-01-19 03:36:23,15.07,2212395717090
Lake Derek,2018-01-27 23:10:17,20.65,1720379253492
West Laurenshire,2018-02-14 02:33:48,35.89,7608117693035
East Corey,2018-02-16 07:12:49,4.86,4126758179822
New Cynthiaport,2018-01-08 03:38:51,33.4,0996106584059
New Christopher,2018-03-09 12:00:51,13.09,0454621047041
East Chelseashire,2018-01-19 14:54:57,15.68,8286147906555
New Cynthiaport,2018-02-14 00:09:38,44.79,8945515311987
East Joshua,2018-02-12 17:14:18,32.21,6284954566124
Johnathanburgh,2018-02-14 22:42:27,40.68,9063528446812
North Carlos,2018-02-07 02:53:31,38.38,0979244084544
Mackshire,2018-01-31 23:14:09,7.46,6223177557274
East Richard,2018-02-08 07:11:39,36.2,6629818381473
West Laurenshire,2018-03-10 20:29:57,15.88,5018722212347
Wardhaven,2018-03-04 01:02:12,20.82,2841491174911
Karatown,2018-03-06 20:12:34,30.62,4722444624531
Cartertown,2018-03-10 01:44:52,7.23,7398628405363
Robinsonfurt,2018-01-19 01:51:32,10.04,6017734182838
New Cynthiaport,2018-01-01 12:28:36,4.92,7715375185292
West Shannon,2018-02-07 09:38:49,26.36,9705364976497
North Katie,2018-01-18 17:48:19,36.04,3508458978133
Port Kathleenburgh,2018-02-09 16:30:40,25.27,4960030044824
North Josephshire,2018-03-16 18:34:11,41.6,3825800453521
South Melissa,2018-02-16 10:59:51,44.85,6695837287850
East Chelseashire,2018-03-19 00:57:10,20.61,9607190125448
Codyport,2018-01-22 21:40:29,4.65,0989826427119
New Julieborough,2018-01-03 15:33:05,31.36,1481283112816
Davisberg,2018-01-30 22:36:14,29.22,8564113733450
Davisberg,2018-02-25 14:17:10,31.86,7133336411790
Mackshire,2018-03-14 13:51:56,41.33,6011417390633
Danaville,2018-02-21 15:42:12,42.81,5477328515670
Kirktown,2018-02-10 13:35:20,15.32,9439714855681
Cartertown,2018-02-02 17:07:05,15.51,5211193342883
North Richardshire,2018-03-01 04:31:58,17.78,4807880585216
South Jose,2018-01-09 14:33:20,43.85,9234503943231
East Corey,2018-02-12 13:31:20,20.31,6250108864866
Kirktown,2018-01-31 01:43:30,9.35,1545133472861
West Shannon,2018-02-14 16:16:06,18.93,9400858096988
New Patriciafurt,2018-02-19 23:06:40,32.09,6800033511108
Lake Adambury,2018-02-27 01:11:12,28.81,8595931261313
North Elaineberg,2018-01-28 01:07:45,43.94,9338876442671
Lake Derek,2018-02-25 09:44:18,12.18,9006542761226
Mackshire,2018-01-22 10:34:06,17.9,4215942319776
West Laurenshire,2018-03-04 06:41:45,14.2,3649760058523
Codyport,2018-01-21 00:49:39,20.27,7126777434800
North Valerie,2018-03-05 06:26:26,33.84,0230791356097
New Davidbury,2018-01-26 17:16:51,29.57,6386285265070
Davidville,2018-01-05 00:26:15,25.7,8696322020387
West Shannon,2018-03-04 11:17:49,23.45,9226634965251
Port Tracychester,2018-01-30 06:03:44,10.96,9671577144643
Port Michelle,2018-01-27 19:37:20,10.47,3092007844753
North Valerie,2018-01-21 18:21:36,32.98,9773825414222
Mckenzieville,2018-01-26 16:27:37,7.17,4779800487859
Brucefurt,2018-01-10 02:43:22,4.97,7472101528630
Brendamouth,2018-03-08 11:10:07,35.04,1024704277963
North Carlos,2018-03-07 09:44:44,39.62,2557211948532
Fuentesshire,2018-01-26 03:49:27,15.07,7982091766580
Mackshire,2018-03-06 17:53:51,5.88,3983327067383
Brendamouth,2018-02-14 00:55:30,42.99,7191914153869
West Janetstad,2018-01-17 01:26:22,18.76,8584467387277
New Christopher,2018-01-12 15:45:24,10.97,0075934043676
Floresfort,2018-03-03 23:35:32,16.22,4519096415521
West Carmen,2018-03-04 18:58:01,17.28,6586468837760
Thompsonbury,2018-03-08 23:47:12,23.84,6422984927069
Port Jennifer,2018-01-24 00:12:21,28.12,6975490151331
Brucefurt,2018-01-05 02:31:19,11.08,6825970876196
Davidbury,2018-01-19 18:57:38,6.75,3786685559176
Cartertown,2018-01-30 07:29:55,44.05,7918444848351
North Josephshire,2018-03-06 22:03:16,41.81,7442673913240
Davisberg,2018-01-07 06:44:51,17.43,3109621739638
Port Tracychester,2018-02-02 23:40:39,16.25,7205909345549
Port Ann,2018-01-31 21:08:30,44.51,0559074869759
New Davidbury,2018-02-14 21:16:41,41.65,7482286608201
Brucefurt,2018-02-21 06:02:45,5.19,5952000083079
Kirktown,2018-02-01 11:20:35,11.99,3985575897040
South Melissa,2018-03-07 18:58:47,35.28,5496099631099
